,heat setpoint,cool setpoint,temperature,ppd
2017-01-01 00:00:00,17.0,31.0,16.67260973242618,69.76555032475069
2017-01-01 00:20:00,18.0,32.0,16.88599460798543,63.72606065180041
2017-01-01 00:40:00,18.0,32.0,16.08427214690789,61.94701952373713
2017-01-01 01:00:00,18.0,32.0,17.11372043524953,69.06149078653054
2017-01-01 01:20:00,18.0,32.0,17.18812065823433,59.10780580414315
2017-01-01 01:40:00,19.0,33.0,16.35780206566884,58.78626626824491
2017-01-01 02:00:00,19.0,33.0,17.30774787615333,66.1721413571467
2017-01-01 02:20:00,20.0,34.0,17.36489242342371,56.81880200423667
2017-01-01 02:40:00,21.0,35.0,16.54979890991341,56.5698815492091
2017-01-01 03:00:00,20.0,34.0,17.48756760822087,63.95535628742252
2017-01-01 03:20:00,21.0,35.0,17.7402910981923,54.66546041640157
2017-01-01 03:40:00,21.0,35.0,16.80290831354936,52.93007473427076
2017-01-01 04:00:00,22.0,36.0,17.66723106809135,61.2846389279474
2017-01-01 04:20:00,21.0,35.0,17.87982777883382,52.57475096591723
2017-01-01 04:40:00,22.0,36.0,16.94720094939329,51.152275517712
2017-01-01 05:00:00,22.0,36.0,17.79946223312324,59.54272191984738
2017-01-01 05:20:00,21.0,35.0,17.81088352192321,50.96268277150362
2017-01-01 05:40:00,20.0,34.0,16.98660267391587,51.11474446319749
2017-01-01 06:00:00,21.0,35.0,17.89540646826614,58.69481047507174
2017-01-01 06:20:00,22.0,36.0,17.95398726767255,49.58650845003005
2017-01-01 06:40:00,22.0,36.0,17.14100831174378,49.34760321405336
2017-01-01 07:00:00,21.0,35.0,18.00918758359665,56.79541146338649
2017-01-01 07:20:00,22.0,36.0,18.06546381724285,48.08775237241579
2017-01-01 07:40:00,23.0,37.0,17.26420029931999,47.78939075996736
2017-01-01 08:00:00,22.0,36.0,18.1272845522196,55.11123548611061
2017-01-01 08:20:00,23.0,37.0,18.21789180709459,46.25871765078331
2017-01-01 08:40:00,24.0,38.0,17.45852869426021,45.56084849569154
2017-01-01 09:00:00,23.0,37.0,18.32798538810934,52.35208723468483
2017-01-01 09:20:00,24.0,38.0,18.44795291218468,43.54641096315646
2017-01-01 09:40:00,25.0,39.0,17.71905159898259,42.55585921717139
2017-01-01 10:00:00,26.0,40.0,18.58143079491822,48.96740900396745
2017-01-01 10:20:00,25.0,39.0,18.87905048599223,40.39992387330106
2017-01-01 10:40:00,26.0,40.0,18.06853568044644,38.15323945249308
2017-01-01 11:00:00,25.0,39.0,18.87632475022356,44.97448104679042
2017-01-01 11:20:00,24.0,38.0,18.97516670017728,37.14218410979274
2017-01-01 11:40:00,24.0,38.0,18.97516670017728,37.14218410979274
2017-01-01 12:00:00,23.0,37.0,19.08681632073374,42.40970296911894
2017-01-01 12:20:00,24.0,38.0,19.19032455966042,34.63795611887747
2017-01-01 12:40:00,25.0,39.0,18.52356955753172,33.92449415990986
2017-01-01 13:00:00,25.0,39.0,19.30689343691992,39.53846130791131
2017-01-01 13:20:00,24.0,38.0,19.53931341345788,32.47359779426854
2017-01-01 13:40:00,25.0,39.0,18.71970913377529,31.07975657412862
2017-01-01 14:00:00,25.0,39.0,19.45618601051284,37.59500896980252
2017-01-01 14:20:00,26.0,40.0,19.51018353082914,30.93712823441241
2017-01-01 14:40:00,27.0,41.0,18.7893300917144,30.67538440848537
2017-01-01 15:00:00,27.0,41.0,19.5468972625174,36.50331803485261
2017-01-01 15:20:00,28.0,42.0,19.60391136389472,29.91760660691001
2017-01-01 15:40:00,29.0,43.0,18.88209865907344,29.71540104516677
2017-01-01 16:00:00,28.0,42.0,19.62893742304092,35.53278189391787
2017-01-01 16:20:00,29.0,43.0,19.67139434368688,29.13890157941489
2017-01-01 16:40:00,30.0,44.0,18.93894453626653,29.10579598935554
2017-01-01 17:00:00,31.0,45.0,19.67726699560161,35.04251464069665
2017-01-01 17:20:00,32.0,46.0,19.67304378388097,28.78083893580761
2017-01-01 17:40:00,33.0,47.0,18.94023880055803,29.07974213807823
2017-01-01 18:00:00,34.0,48.0,19.64810080940834,35.03770401632706
2017-01-01 18:20:00,35.0,49.0,19.65306294227228,28.99645162111302
2017-01-01 18:40:00,36.0,50.0,18.91683937562861,29.22089904871726
2017-01-01 19:00:00,37.0,51.0,19.65878554512637,35.18073646504723
2017-01-01 19:20:00,38.0,52.0,19.84202048355934,28.83414056761941
2017-01-01 19:40:00,37.0,51.0,19.01554357658151,27.99866263083989
2017-01-01 20:00:00,36.0,50.0,19.70981523556621,34.46887842524151
2017-01-01 20:20:00,36.0,50.0,19.86225152958199,28.51941141717811
2017-01-01 20:40:00,36.0,50.0,19.02964180388908,27.92252991585431
2017-01-01 21:00:00,37.0,51.0,19.73456965510529,34.48381005508915
2017-01-01 21:20:00,38.0,52.0,19.72640830561905,28.46108443910474
2017-01-01 21:40:00,38.0,52.0,18.9749504153731,28.79018044840441
2017-01-01 22:00:00,38.0,52.0,19.69544874494976,34.82106048226396
2017-01-01 22:20:00,38.0,52.0,19.71023235819358,28.58116247243855
2017-01-01 22:40:00,39.0,53.0,18.9851724595891,28.81815368173821
2017-01-01 23:00:00,39.0,53.0,19.7355163049136,34.74650665259267
2017-01-01 23:20:00,39.0,53.0,19.74482564374415,28.39640014876711
2017-01-01 23:40:00,39.0,53.0,19.74482564374415,28.39640014876711
