,heat setpoint,cool setpoint,temperature,ppd
2017-01-01 00:00:00,20.0,30.0,16.67278686562175,69.76555032475069
2017-01-01 00:20:00,20.5,30.5,16.92156921405077,63.71885322866301
2017-01-01 00:40:00,20.0,30.0,16.09959165219148,61.66247717782872
2017-01-01 01:00:00,20.0,30.0,17.11652986685987,68.92841002295324
2017-01-01 01:20:00,19.5,29.5,17.40179722815461,59.09184832038815
2017-01-01 01:40:00,19.0,29.0,16.44681787290153,57.16578107969875
2017-01-01 02:00:00,19.5,29.5,17.34966678006164,65.49956876933868
2017-01-01 02:20:00,19.0,29.0,17.38192193375363,56.47457983807877
2017-01-01 02:40:00,19.0,29.0,16.56433036679435,56.39529353922826
2017-01-01 03:00:00,19.5,29.5,17.49185511122686,63.79743421189077
2017-01-01 03:20:00,19.0,29.0,17.74653535635091,54.59373120993575
2017-01-01 03:40:00,19.5,29.5,16.81185676766329,52.82785012652364
2017-01-01 04:00:00,19.0,29.0,17.68080918679875,61.16829435179958
2017-01-01 04:20:00,18.5,28.5,17.71824201309548,52.42541266393963
2017-01-01 04:40:00,18.5,28.5,16.88629144273397,52.35781594589793
2017-01-01 05:00:00,18.5,28.5,17.7742905215102,60.00090809781891
2017-01-01 05:20:00,18.0,28.0,17.79672190317037,51.14608032371172
2017-01-01 05:40:00,18.5,28.5,16.97982163641532,51.23049258248224
2017-01-01 06:00:00,19.0,29.0,17.885865449325,58.74497391696428
2017-01-01 06:20:00,19.5,29.5,17.93278530395643,49.68032128958212
2017-01-01 06:40:00,19.0,29.0,17.13093930117542,49.52592821679927
2017-01-01 07:00:00,19.5,29.5,18.0038993244548,56.88923203045018
2017-01-01 07:20:00,19.0,29.0,18.05384717672096,48.14136868474647
2017-01-01 07:40:00,19.0,29.0,17.27616715663224,47.89464515298003
2017-01-01 08:00:00,19.0,29.0,18.13716694473587,54.99342691888653
2017-01-01 08:20:00,19.0,29.0,18.38933866544521,46.18408020131322
2017-01-01 08:40:00,19.5,29.5,17.52912434809275,44.25014163163356
2017-01-01 09:00:00,20.0,30.0,18.36028413742473,51.76923373302048
2017-01-01 09:20:00,20.5,30.5,18.46064561598053,43.25456484170896
2017-01-01 09:40:00,20.5,30.5,17.72577981227187,42.41703415786924
2017-01-01 10:00:00,20.5,30.5,18.58402553660374,48.87524748134665
2017-01-01 10:20:00,20.0,30.0,18.70911919437861,40.35908131117347
2017-01-01 10:40:00,20.5,30.5,17.99518732568322,39.38346418035106
2017-01-01 11:00:00,20.5,30.5,18.83582690409183,45.58979239419308
2017-01-01 11:20:00,20.5,30.5,18.92151121727449,37.48325941521275
2017-01-01 11:40:00,20.5,30.5,18.92151121727449,37.48325941521275
2017-01-01 12:00:00,21.0,31.0,19.0542504685296,42.76149604096658
2017-01-01 12:20:00,21.5,31.5,19.16245707435572,34.9366454704744
2017-01-01 12:40:00,22.0,32.0,18.46968885781598,34.18435349780792
2017-01-01 13:00:00,21.5,31.5,19.27416468732891,40.00232719774932
2017-01-01 13:20:00,21.0,31.0,19.32845290892281,32.75585660742891
2017-01-01 13:40:00,21.5,31.5,18.61784226792412,32.52130332641894
2017-01-01 14:00:00,21.5,31.5,19.39735791379933,38.41177497216782
2017-01-01 14:20:00,21.0,31.0,19.46591400348838,31.3898578119483
2017-01-01 14:40:00,21.0,31.0,18.75185712671281,31.0451976441699
2017-01-01 15:00:00,21.0,31.0,19.5148995626999,36.86425229129664
2017-01-01 15:20:00,20.5,30.5,19.72591225614314,30.21643759306869
2017-01-01 15:40:00,20.5,30.5,18.90784266087469,29.0794002779097
2017-01-01 16:00:00,21.0,31.0,19.62207542426324,35.48659158677258
2017-01-01 16:20:00,20.5,30.5,19.61767682210989,29.32181500885652
2017-01-01 16:40:00,21.0,31.0,18.89036374789336,29.58606083993902
2017-01-01 17:00:00,21.5,31.5,19.63640055813915,35.56300712390627
2017-01-01 17:20:00,21.5,31.5,19.80597204976042,29.24392485977606
2017-01-01 17:40:00,21.5,31.5,18.95549505511149,28.50279205404264
2017-01-01 18:00:00,21.0,31.0,19.63521067358244,35.23039537625597
2017-01-01 18:20:00,21.0,31.0,19.75685824114098,29.38002915684812
2017-01-01 18:40:00,20.5,30.5,18.90523369326685,28.94652313490806
2017-01-01 19:00:00,20.0,30.0,19.62233348648098,35.71325378255487
2017-01-01 19:20:00,20.0,30.0,19.59275679715014,29.51506874681091
2017-01-01 19:40:00,20.0,30.0,18.83425563137676,30.02344148087828
2017-01-01 20:00:00,20.0,30.0,19.5917621760415,36.31564386188033
2017-01-01 20:20:00,20.5,30.5,19.57312082598445,29.82173366928031
2017-01-01 20:40:00,20.0,30.0,18.80462594796113,30.31238552158672
2017-01-01 21:00:00,20.5,30.5,19.56726391429739,36.72789896317995
2017-01-01 21:20:00,20.5,30.5,19.7170686324211,30.14258305893979
2017-01-01 21:40:00,20.0,30.0,18.84883454757679,29.58922111569996
2017-01-01 22:00:00,20.0,30.0,19.59518922005417,36.55965003296816
2017-01-01 22:20:00,20.0,30.0,19.54685319541673,29.99817676824809
2017-01-01 22:40:00,19.5,29.5,18.77998584616096,30.69418614694382
2017-01-01 23:00:00,20.0,30.0,19.55652611348259,37.1320107030622
2017-01-01 23:20:00,20.0,30.0,19.70719072607,30.38788434814491
2017-01-01 23:40:00,20.0,30.0,19.70719072607,30.38788434814491
